num_threads_1,2757,2420,2188,2392,2341,2186,2620,2343,2248,2238,2199,2269,2211,2257,2236,2180,2100,2072,2138,2125,2068,2083,2083,2116,2094,2092,2073,2095,2066,2082,2083,2110,2076,2094,2103,2119,2086,2062,2124,2116,2283,2394,2214,2078,2193,2109,2093,2127,2121,2085,2246,2122,2072,2041,2049,2051,2068,2022,2078,2082,2093,2159,2270,2040,2136,2180,2122,2063,2099,2043,2095,2123,2042,2086,2059,2091,2101,2132,2089,2068,2086,2207,2052,2081,2294,2168,2133,2064,2116,2137,2123,2147,2084,2033,2018,2044,2047,2026,2024,2029
num_threads_2,1052,1058,1054,1046,1051,1057,1055,1045,1054,1047,1058,1067,1048,1043,1038,1050,1044,1046,1038,1041,1051,1041,1053,1065,1046,1044,1035,1046,1048,1055,1050,1045,1040,1081,1205,1165,1055,1093,1098,1067,1088,1061,1089,1073,1074,1063,1072,1067,1080,1053,1065,1070,1053,1047,1067,1060,1148,1075,1059,1054,1047,1050,1053,1057,1040,1114,1124,1046,1047,1064,1050,1052,1036,1043,1054,1045,1049,1046,1048,1052,1058,1088,1097,1074,1085,1076,1054,1046,1119,1069,1042,1038,1072,1116,1050,1045,1050,1050,1036,1050
num_threads_4,595,588,588,608,577,590,603,624,604,626,613,609,619,599,618,614,591,647,582,609,619,600,620,618,620,646,620,620,607,597,621,611,610,578,612,613,604,618,595,595,605,614,586,610,611,583,610,643,601,617,602,592,602,599,597,588,610,637,601,606,594,576,587,584,587,594,585,610,623,599,614,595,596,604,600,606,616,635,602,595,611,587,617,613,606,616,600,596,609,627,596,610,603,595,584,583,572,597,603,623
num_threads_8,627,638,626,639,631,627,646,645,649,620,688,639,633,683,678,673,695,679,697,662,702,689,655,675,686,643,688,656,684,732,678,713,685,694,677,646,668,663,662,674,686,678,690,687,748,773,780,729,699,800,730,745,718,764,794,710,703,734,702,746,706,712,715,731,733,724,705,689,688,707,718,719,705,681,689,663,668,681,689,691,661,701,738,810,749,830,993,784,793,830,735,720,748,772,713,716,736,776,697,731
num_threads_16,709,726,748,810,731,728,730,775,699,748,773,733,756,740,741,737,743,753,704,763,725,731,730,762,758,728,729,721,715,766,722,808,767,854,706,748,717,814,717,740,767,709,749,726,704,737,747,739,747,750,744,766,734,735,749,731,715,729,713,704,753,801,756,760,770,761,751,802,765,770,798,782,730,783,777,779,769,803,739,920,753,717,719,725,695,754,768,793,732,699,762,754,699,713,718,747,723,734,793,736
num_threads_32,760,831,738,762,799,753,773,786,900,830,815,823,791,859,797,805,847,814,791,826,844,830,803,797,819,890,787,797,829,806,820,801,785,797,872,796,782,826,863,799,795,822,916,935,941,922,863,794,804,746,767,747,787,757,764,805,768,749,782,739,770,797,793,756,816,750,795,781,766,755,781,741,780,877,785,733,789,748,787,758,795,758,886,771,866,867,777,785,776,831,784,803,833,790,931,907,807,760,765,883
num_threads_64,1038,919,1494,1094,1251,1106,1074,1118,1791,2362,1255,1599,1553,1128,1216,1563,1402,1309,1424,1366,1188,1525,1324,1625,1232,1498,1231,1079,964,948,984,1066,1172,1082,944,891,901,919,993,903,882,940,856,970,899,981,987,873,896,987,914,934,915,982,904,911,923,882,900,879,915,884,928,922,909,905,880,913,861,900,918,894,899,871,855,823,845,839,839,881,868,828,874,803,874,870,836,840,870,848,842,892,867,876,843,893,818,865,870,823
Mean results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2138.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1062.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,705.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,748.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,805.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1027.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
